cities,country,state,lat,lon,date,temp,feels_like,uvi,humidity,wind_speed,description
Mont Saint Michel,FR,Normandy,48.6359541,-1.511459954959514,2025-04-24 12:50:01,13.95,13.23,4.75,70.0,3.42,broken clouds
St Malo,FR,Brittany,48.649518,-2.0260409,2025-04-24 12:50:05,15.29,14.62,5.41,67.0,3.09,broken clouds
Bayeux,FR,Normandy,49.2764624,-0.7024738,2025-04-24 12:50:05,12.14,11.37,4.33,75.0,4.45,broken clouds
Le Havre,FR,Normandy,49.4938975,0.1079732,2025-04-24 12:50:05,11.51,10.99,4.59,87.0,4.63,overcast clouds
Rouen,FR,Normandy,49.4404591,1.0939658,2025-04-24 12:50:05,13.66,13.01,3.15,74.0,3.6,broken clouds
Paris,FR,Ile-de-France,48.8588897,2.3200410217200766,2025-04-24 12:50:05,15.21,14.59,3.04,69.0,4.63,overcast clouds
Amiens,FR,Hauts-de-France,49.8941708,2.2956951,2025-04-24 12:50:05,12.88,12.21,2.61,76.0,4.59,overcast clouds
Lille,FR,Hauts-de-France,50.6365654,3.0635282,2025-04-24 12:50:05,12.98,12.08,4.78,67.0,6.69,overcast clouds
Strasbourg,FR,Grand Est,48.584614,7.7507127,2025-04-24 12:50:05,13.0,12.34,3.68,76.0,2.57,light rain
Chateau du Haut Koenigsbourg,FR,Grand Est,48.2495226,7.3454923,2025-04-24 12:50:05,10.9,9.8,2.49,67.0,3.09,broken clouds
Colmar,FR,Grand Est,48.0777517,7.3579641,2025-04-24 12:50:05,13.94,13.22,2.49,70.0,3.09,broken clouds
Eguisheim,FR,Grand Est,48.0447968,7.3079618,2025-04-24 12:50:06,13.91,13.21,2.49,71.0,3.09,broken clouds
Besancon,FR,Bourgogne-Franche-Comté,47.2380222,6.0243622,2025-04-24 12:50:06,13.33,12.49,0.56,68.0,2.45,overcast clouds
Dijon,FR,Bourgogne-Franche-Comté,47.3215806,5.0414701,2025-04-24 12:50:06,13.8,12.99,2.62,67.0,4.63,moderate rain
Annecy,FR,Auvergne-Rhône-Alpes,45.8992348,6.1288847,2025-04-24 12:50:06,13.08,12.06,2.59,62.0,5.14,broken clouds
Grenoble,FR,Auvergne-Rhône-Alpes,45.1875602,5.7357819,2025-04-24 12:50:06,14.32,13.84,3.27,78.0,1.34,overcast clouds
Lyon,FR,Auvergne-Rhône-Alpes,45.7578137,4.8320114,2025-04-24 12:50:06,15.65,14.79,4.55,58.0,5.14,broken clouds
Bormes les Mimosas,FR,Provence-Alpes-Côte d'Azur,43.1506968,6.3419285,2025-04-24 12:50:06,22.24,21.54,6.05,39.0,5.66,clear sky
Cassis,FR,Provence-Alpes-Côte d'Azur,43.2140359,5.5396318,2025-04-24 12:50:06,20.17,19.13,6.08,34.0,13.7,clear sky
Marseille,FR,Provence-Alpes-Côte d'Azur,43.2961743,5.3699525,2025-04-24 12:50:06,20.3,19.27,6.03,34.0,13.89,clear sky
Aix en Provence,FR,Provence-Alpes-Côte d'Azur,43.5298424,5.4474738,2025-04-24 12:50:06,19.49,18.59,5.99,42.0,3.58,clear sky
Avignon,FR,Provence-Alpes-Côte d'Azur,43.9492493,4.8059012,2025-04-24 12:50:07,20.16,19.48,6.06,48.0,9.77,broken clouds
Uzes,FR,Occitania,44.0121279,4.4196718,2025-04-24 12:50:07,19.56,18.82,6.27,48.0,8.04,clear sky
Nimes,FR,Occitania,43.8374249,4.3600687,2025-04-24 12:50:07,21.22,20.44,6.1,40.0,7.72,clear sky
Aigues Mortes,FR,Occitania,43.5658225,4.1912837,2025-04-24 12:50:07,21.87,21.16,6.1,40.0,6.69,clear sky
Saintes Maries de la mer,FR,Provence-Alpes-Côte d'Azur,43.4522771,4.4287172,2025-04-24 12:50:07,19.54,18.86,6.11,50.0,5.99,clear sky
Collioure,FR,Occitania,42.52505,3.0831554,2025-04-24 12:50:07,21.64,21.24,6.26,53.0,6.92,broken clouds
Carcassonne,FR,Occitania,43.2130358,2.3491069,2025-04-24 12:50:07,17.01,16.7,3.36,74.0,7.72,overcast clouds
Ariege,FR,Occitania,42.8458016,1.6067586,2025-04-24 12:50:07,18.46,18.06,4.37,65.0,2.59,broken clouds
Toulouse,FR,Occitania,43.6044622,1.4442469,2025-04-24 12:50:07,15.97,15.5,2.87,72.0,6.69,broken clouds
Montauban,FR,Occitania,44.0175835,1.3549991,2025-04-24 12:50:07,16.66,16.03,4.79,63.0,5.14,overcast clouds
Biarritz,FR,Nouvelle-Aquitaine,43.4832523,-1.5592776,2025-04-24 12:50:08,15.3,15.18,6.57,88.0,3.6,overcast clouds
Bayonne,FR,Nouvelle-Aquitaine,43.4945144,-1.4736657,2025-04-24 12:50:08,15.42,15.32,6.12,88.0,3.6,overcast clouds
La Rochelle,FR,Nouvelle-Aquitaine,46.1591126,-1.1520434,2025-04-24 12:50:08,14.98,14.31,3.66,68.0,3.09,overcast clouds
Gorges du Verdon,,,43.7496562,6.3285616,2025-04-24 12:50:08,19.98,19.13,6.08,42.0,3.3,clear sky
